instance_id,raw_result,optimal_makespan,accuracy,runtime_seconds
637,5163,3123,60.49,0.000289
638,18543,12985,70.03,0.001385
639,10553,6969,66.04,0.000531
640,9373,5351,57.09,0.000289
641,2334,1934,82.86,0.000565
642,2580,1866,72.33,0.000283
643,7841,6216,79.28,0.000527
644,14403,9932,68.96,0.001026
645,7387,5221,70.68,0.000488
646,9738,7126,73.18,0.001398
647,2187,1672,76.45,0.000594
648,12834,9829,76.59,0.002045
649,973,818,84.07,0.001148
650,1731,1385,80.01,0.003811
651,3379,2550,75.47,0.000555
652,9397,6739,71.71,0.000591
653,21459,17211,80.2,0.001383
654,13519,8167,60.41,0.000707
655,23652,18073,76.41,0.003701
656,6225,5258,84.47,0.000575
657,2081,1447,69.53,0.000524
658,15135,11160,73.74,0.001401
659,28999,23103,79.67,0.003451
660,5335,3218,60.32,0.000378
661,5489,3701,67.43,0.000286
662,17850,14135,79.19,0.001374
663,437,361,82.61,0.000576
664,1286,780,60.65,0.000286
665,2782,1889,67.9,0.000383
666,6800,4429,65.13,0.001082
667,6529,4549,69.67,0.001034
668,10339,7656,74.05,0.000654
669,9388,6122,65.21,0.000564
670,6192,3911,63.16,0.000294
671,4354,3101,71.22,0.001061
672,9784,6473,66.16,0.001049
673,13296,9981,75.07,0.001367
674,12699,9128,71.88,0.001033
675,3359,2024,60.26,0.000373
676,643,497,77.29,0.000385
677,2026,1449,71.52,0.000388
678,18418,12636,68.61,0.003367
679,10614,6821,64.26,0.000812
680,9351,6652,71.14,0.00059
681,20933,15599,74.52,0.001397
682,10801,6999,64.8,0.000503
683,620,523,84.35,0.000656
684,2320,1667,71.85,0.000573
685,9632,7508,77.95,0.001035
686,1726,1302,75.43,0.000603
687,4069,2288,56.23,0.000382
688,8683,6093,70.17,0.00039
689,7950,5227,65.75,0.000381
690,7150,5065,70.84,0.000483
691,1441,1037,71.96,0.000487
692,2551,1861,72.95,0.001058
693,3045,2174,71.4,0.000496
694,9713,7287,75.02,0.003513
695,5907,4164,70.49,0.001042
696,5285,3304,62.52,0.000303
697,10709,7162,66.88,0.000486
